"pair","direction","CF","Sham","FC","log2FC"
"Spp1-Itgav","MG=>Tany",0.0322781965367216,0,323.781965367216,8.3388788196404
"Spp1-Cd44","MG=>Tany",0.0184647329273525,0,185.647329273525,7.53642075047475
"Igf1-Igf1r","Tany=>MG",0.0103549936081901,0,104.549936081901,6.70804836969023
"Vegfa-Flt1","Tany=>MG",0.00870632688049449,0,88.0632688049449,6.46046849129888
"Mif-Cd74","Tany=>MG",0.21482389541348,0.00452986764990418,46.421174786266,5.53671112848906
"Lgals3-Cd44","MG=>Tany",0.0275276230719567,0.000929082114555271,26.8468596248961,4.74668143566568
"App-Cd74","Tany=>MG",1.25472816206336,0.0466878472929421,26.819531879866,4.74521215090343
"Cd74-App","MG=>Tany",1.25472816206336,0.0466878472929421,26.819531879866,4.74521215090343
"Pdgfa-Pdgfra","Tany=>MG",0.00239302169510495,0.000247665864509643,7.17074049999465,2.84212210923504
"Lyz2-Trem2","MG=>Tany",0.0164565806784907,0.00333492304338852,4.82007325036248,2.26905507117136
"Tgfb1-Tgfbr2","MG=>Tany",0.038199946713538,0.0099614171713274,3.80661551562374,1.92850885891641
"Sema3a-Nrp1","Tany=>MG",0.0987065559017839,0.0260724084336738,3.77521832399107,1.91656007909505
"Cxcl12-Cxcr4","Tany=>MG",0.000257237624129747,0,3.57237624129747,1.83688403255018
"Il1b-Il1r1","MG=>Tany",0.000199401880008963,0,2.99401880008963,1.58208328041801
"Apoe-Lrp1","MG=>Tany",0.54973865930409,0.359461126855614,1.52919383725506,0.612771291147427
"Lgals9-Cd44","MG=>Tany",0.101787196665891,0.0718735888201868,1.41561923388922,0.501433268774686
"Tnf-Tnfrsf1a","MG=>Tany",0.00165112814241822,0.00114857041823725,1.40250651212007,0.488007469573121
"Wnt7a-Fzd1","Tany=>MG",2.5586967458585e-05,0,1.25586967458585,0.328686759146695
"Ctsb-Lrp1","MG=>Tany",0.437879153598823,0.38091387497326,1.1495097222629,0.201018668057967
"Ctsd-Lrp1","MG=>Tany",0.671207404758083,0.673334071451192,0.996842056582427,-0.00456315820386276
"Fgf2-Fgfr1","Tany=>MG",0.00838505337010324,0.00907390896555989,0.924911441998965,-0.112612857155912
"Cst3-Lrp1","MG=>Tany",1.34997746478407,1.4641942970944,0.921998718060321,-0.117163350143057
"Trem2-Trem2","MG=>Tany",0.0217418703762748,0.0251879873666528,0.863725137931604,-0.211355816331771
"Vegfa-Kdr","Tany=>MG",0.00200283758556721,0.00239889179487488,0.841508059644696,-0.248951005680621
"Tgfb1-Tgfbr1","MG=>Tany",0.0556975623663182,0.07064342414548,0.788731433914954,-0.342393954239495
"Shh-Ptch1","Tany=>MG",0.000537669226739062,0.000806949633410345,0.703092215100495,-0.508214174375636
"Ccl5-Ccr5","MG=>Tany",0,5.22050830990469e-05,0.657008280958169,-0.606016540440223
"Il6-Il6st","MG=>Tany",0.0100408111631907,0.0181580559400946,0.555415713286401,-0.848360101814701
"Ccl4-Ccr5","MG=>Tany",0,0.000108389182748487,0.479871357433624,-1.05928039085945
"Wnt7b-Fzd1","Tany=>MG",0.000105987698841141,0.000340638029079383,0.467475989921949,-1.09703582637923
"Csf1-Csf1r","MG=>Tany",0.000361304451395838,0.00169663194652089,0.256760686176786,-1.96150377326724
"Apoe-Ldlr","MG=>Tany",0.020221423040181,0.151939857355889,0.133658524768367,-2.90337623898363
"Il1a-Il1r1","MG=>Tany",0.000775462308104635,0.0087931360223282,0.0984424736006053,-3.34457528038895
