cell_type,sex,n_cells,n_adult,n_aged,n_sig,n_up,n_down
Glutamatergic_Neuron,Female,5019,3855,1164,6070,4461,1609
GABAergic_Neuron,Female,4883,3702,1181,5542,3859,1683
GABAergic_Neuron,Male,7127,1220,5907,4912,3112,1800
Glutamatergic_Neuron,Male,6981,1031,5950,4738,2862,1876
Astrocyte,Female,10873,2915,7958,3243,1352,1891
OPC,Female,2203,739,1464,2665,1696,969
MOL,Female,2331,1012,1319,2183,1253,930
Microglia,Female,1617,257,1360,1198,537,661
Astrocyte,Male,4917,121,4796,778,318,460
Tanycyte,Male,429,177,252,627,293,334
Tanycyte,Female,631,304,327,579,245,334
MOL,Male,650,165,485,522,282,240
Unclassified,Female,891,233,658,394,181,213
OPC,Male,1429,74,1355,256,87,169
Pericyte,Female,476,126,350,131,58,73
SMC,Female,293,79,214,80,45,35
Ependymal,Female,160,76,84,32,21,11
BAM,Female,51,17,34,15,13,2
COP,Female,102,78,24,13,11,2
VLMC,Female,128,41,87,13,2,11
Microglia,Male,430,10,420,0,0,0
MFOL,Male,25,10,15,0,0,0
MFOL,Female,56,38,18,0,0,0
