cell_type,outgoing_count_y,incoming_count_y,outgoing_weight_y,incoming_weight_y,outgoing_count_a,incoming_count_a,outgoing_weight_a,incoming_weight_a,outgoing_diff,incoming_diff
VLMC,1149,1830,1.02223947248486e-07,5.47424273215813e-07,1574,1987,1.34977922138782e-07,7.22356822440572e-07,425,157
GABAergic_Neuron,1436,1440,0.000183583070656108,0.000253751003920827,1715,1641,5.76336245644797e-05,8.27018953402999e-05,279,201
SMC,1104,1254,1.57464055886514e-07,1.39565611931487e-07,1326,1384,2.92728894756602e-07,2.27917317851541e-07,222,130
OPC,1181,1314,8.37729217400966e-05,5.91236768155062e-05,1364,1563,4.4485656149748e-05,3.24729950790475e-05,183,249
Astrocyte,1064,871,1.89604921975113e-05,3.04172949764086e-05,1244,1037,1.07542010296757e-05,9.78858149222039e-06,180,166
MOL,622,582,1.72200541189209e-05,1.2914430901412e-05,784,791,7.60148037991145e-06,5.73617834531964e-06,162,209
Tanycyte,1388,1063,3.10015440573616e-06,1.50349344787881e-06,1531,1310,2.43286369942353e-06,2.9335380772018e-06,143,247
COP,1001,859,7.86131528593918e-06,4.22964377208847e-06,1128,1076,1.61934293524417e-06,9.03791434715725e-07,127,217
MFOL,753,788,2.23916946858889e-06,1.43798051635748e-06,879,845,5.3937456292798e-07,3.17814342351285e-07,126,57
Glutamatergic_Neuron,1683,1604,0.000203789970696252,0.000156360025726771,1804,1965,6.09278107404937e-05,5.02840595743601e-05,121,361
Microglia,877,258,4.58428414826087e-07,1.46011709824359e-07,986,324,1.33199142328312e-06,6.50068847213855e-07,109,66
Endothelial,979,1087,4.2322900325139e-07,6.30508830317867e-07,1058,1158,8.73678521224434e-07,1.17273612751699e-06,79,71
Pericyte,880,1144,1.44602230061422e-07,6.43371048240674e-07,812,1135,2.9511971140971e-07,1.02707337880805e-06,-68,-9
Ependymal,1228,1251,8.90037792791274e-08,5.76684489272925e-08,1183,1172,7.71155196603193e-08,6.09598750298699e-08,-45,-79
