"","Astrocyte","COP","Endothelial","Ependymal","GABAergic_Neuron","Glutamatergic_Neuron","MFOL","Microglia","MOL","OPC","Pericyte","SMC","Tanycyte","VLMC"
"Astrocyte",5.54260952163058e-10,2.96030398984463e-11,3.67234162085589e-10,3.54965528088384e-11,2.02943637804286e-09,2.24440938025743e-09,1.93027159740279e-11,2.8276524748099e-09,3.94722732070785e-10,8.08580829410378e-10,1.28102244134123e-10,1.25941539545196e-10,2.41006951985793e-10,1.17167381964111e-10
"COP",1.31807010923569e-09,3.86168811728814e-11,4.56751369462605e-12,3.15792955094591e-11,2.48621007769444e-09,2.81943537925937e-09,2.55066262327163e-11,3.80458396382991e-10,5.339132552007e-10,9.86817755970707e-10,1.5471792479366e-10,1.90987434431474e-10,4.0037150089609e-10,5.95085968027474e-11
"Endothelial",4.89745209556644e-10,0,6.42913854444632e-10,3.86367615777851e-11,0,0,0,7.92994404999828e-09,0,0,1.41856179641614e-10,6.14358951165656e-11,0,2.41817248751544e-10
"Ependymal",1.64880408913707e-10,8.24971409036515e-12,5.8861740170112e-11,7.44472997527444e-12,5.81439246475558e-10,6.44666164990218e-10,5.55583612345495e-12,2.14149291648658e-10,1.14471130860948e-10,2.31272874889735e-10,2.81191854379388e-11,3.26013830028963e-11,7.12288823800276e-11,1.58432202821728e-11
"GABAergic_Neuron",2.77126959681986e-10,2.49452546576878e-11,1.59286165941412e-10,1.35786567095361e-11,1.02105801615266e-09,1.06229919508148e-09,8.41779677959358e-12,1.82138999568864e-09,1.59756836326847e-10,4.62307962252059e-10,5.00298712535645e-11,2.45833843706419e-11,4.40115696246484e-11,6.05487156785745e-11
"Glutamatergic_Neuron",2.54772156376242e-10,2.80044362174813e-11,4.23914920008911e-10,3.08342640793098e-11,1.26770940279951e-09,1.30372951908289e-09,9.22261908581586e-12,4.98215175777282e-09,1.74923609539275e-10,5.28979448694431e-10,1.00462554111086e-10,5.14032905568242e-11,5.13508820134086e-11,1.57191836444399e-10
"MFOL",5.81234588397946e-11,3.17347291741531e-13,0,2.64055298189759e-13,2.06758654428458e-11,2.34657692265009e-11,2.11982284082895e-13,2.94674152149709e-12,4.44452396448542e-12,8.16445417550118e-12,2.88325044756363e-12,1.60809128510905e-12,3.36612419614066e-12,6.3143237464461e-13
"Microglia",6.85623102727129e-10,0,2.06292028845067e-09,1.23973937211555e-10,0,0,0,2.54448290766051e-08,0,0,4.25286808168629e-10,1.97129615291541e-10,0,7.73303954195402e-10
"MOL",3.18032357366305e-09,3.73242961219585e-12,1.03869194123129e-10,9.34772593460319e-12,2.4317589982408e-10,2.75988909621854e-10,2.49319586813718e-12,1.31580906087086e-09,5.22735603658597e-11,9.60249270360709e-11,1.38398632563142e-10,2.88388160776196e-11,3.95901333618932e-11,5.36336955301546e-11
"OPC",6.90641722801829e-09,1.5813498182891e-10,9.31449150818475e-10,1.27942191605524e-10,1.10169522458765e-08,1.19957572303136e-08,9.63650052012367e-11,3.99643260810298e-09,1.88495044563094e-09,4.0757135577529e-09,5.86582476528324e-10,5.09951541427146e-10,1.11630742707679e-09,2.75276295305955e-10
"Pericyte",1.34037394280601e-09,5.96586901102029e-11,3.4726979648525e-10,5.37272290859186e-11,4.06302499527545e-09,4.55039832505062e-09,4.04591014748984e-11,1.47133938057459e-09,8.45895403851556e-10,1.6544223067498e-09,2.17150432732101e-10,2.5698100738993e-10,5.52682804851561e-10,1.15636267985756e-10
"SMC",3.470430135292e-10,1.90789664491814e-11,3.01789159137662e-10,2.69627479217817e-11,1.16721064419709e-09,1.29962316174142e-09,1.1643084608059e-11,3.01526920796012e-09,2.39920719756344e-10,4.89592120140454e-10,9.87922953726264e-11,8.69110417772096e-11,1.46279084793352e-10,1.09982341314208e-10
"Tanycyte",1.09391345738101e-10,1.57369821710759e-11,1.86180808332329e-10,1.34031659503109e-11,5.57814977876861e-10,5.97777516066492e-10,5.7428094702819e-12,2.32719516731198e-09,1.0232274865328e-10,2.79814700813924e-10,4.73658424934539e-11,2.39498499455381e-11,2.58794485074663e-11,7.30408761148881e-11
"VLMC",2.96829150812719e-09,1.38297374537182e-10,8.00617475496905e-10,1.17065628190658e-10,9.5058153391318e-09,1.06209802683653e-08,9.41461198146316e-11,1.87000854267339e-09,1.96757004601648e-09,3.89033330285051e-09,4.67954734186904e-10,5.61915395019661e-10,1.24832156637159e-09,2.2010616759876e-10
