sex_group,cell_type,gene,age_group,n_donors,median_fraction,median_expression,median_pseudobulk_cpm
Female,Microglia,Acvr1,Adult(2m),1,0.5490196078431373,0.6363489354113484,134.65392244612994
Female,Microglia,Acvr1,Aged(18m),2,0.49491360182881733,0.49638190696897316,92.12048617092941
Female,Microglia,Acvr2a,Adult(2m),1,0.37254901960784315,0.37941532447409076,71.28737070677468
Female,Microglia,Acvr2a,Aged(18m),2,0.2631065241264932,0.25848073644982394,44.34606960696523
Female,Microglia,Acvr2b,Adult(2m),1,0.19607843137254902,0.20614944746993655,36.77523092016154
Female,Microglia,Acvr2b,Aged(18m),2,0.15154082341603353,0.1268668652012206,19.833223978354127
Female,Microglia,Gdf11,Adult(2m),1,0.00392156862745098,0.004123880976587181,0.5657727833871006
Female,Microglia,Gdf11,Aged(18m),2,0.013207378022815392,0.01053470592810514,1.5122379670089412
Female,Microglia,Tgfb2,Adult(2m),1,0.00784313725490196,0.009495371268368108,1.6973183501613018
Female,Microglia,Tgfb2,Aged(18m),2,0.009539657993231584,0.00796393855970274,1.335829190600982
Female,Microglia,Tgfbr1,Adult(2m),1,1.0,2.872193807847315,1911.746235065013
Female,Microglia,Tgfbr1,Aged(18m),2,0.9903370761334858,2.5599370367000054,1430.8129431728448
Female,Microglia,Tgfbr2,Adult(2m),1,0.9764705882352941,1.8778421636052178,661.3883837795206
Female,Microglia,Tgfbr2,Aged(18m),2,0.9441381474259845,1.6974624136406877,545.9674457053743
Female,Tanycyte,Acvr1,Adult(2m),4,0.3557692307692307,0.2931070795152102,52.22873540107004
Female,Tanycyte,Acvr1,Aged(18m),2,0.3529620014160963,0.2655734807218155,48.59051766124641
Female,Tanycyte,Acvr2a,Adult(2m),4,0.24154589371980675,0.18909572282785514,37.72762904974263
Female,Tanycyte,Acvr2a,Aged(18m),2,0.25304854063409643,0.20862521909189874,33.62047897572232
Female,Tanycyte,Acvr2b,Adult(2m),4,0.21367521367521367,0.1418204758953337,23.63353534053727
Female,Tanycyte,Acvr2b,Aged(18m),2,0.1308118952088742,0.0804275516029747,12.384086151522267
Female,Tanycyte,Gdf11,Adult(2m),4,0.49731182795698925,0.5260654767570068,97.61846505060463
Female,Tanycyte,Gdf11,Aged(18m),2,0.45930689953583514,0.41374362729279046,76.90076006060505
Female,Tanycyte,Tgfb2,Adult(2m),4,0.42735042735042733,0.5297392837981021,153.6539179379702
Female,Tanycyte,Tgfb2,Aged(18m),2,0.37585555817795613,0.4601759845008834,153.07179614323005
Female,Tanycyte,Tgfbr1,Adult(2m),4,0.2767094017094017,0.23367241928431776,40.40448973097581
Female,Tanycyte,Tgfbr1,Aged(18m),2,0.2436865706868067,0.18149772897273675,33.11022779089909
Female,Tanycyte,Tgfbr2,Adult(2m),4,0.04921422663358148,0.03257825855027165,5.597637629750496
Female,Tanycyte,Tgfbr2,Aged(18m),2,0.07943906852332625,0.05409704801313926,8.794387725336588
Male,Microglia,Acvr1,Adult(2m),1,0.49222797927461137,0.5676569278876994,115.43981835507817
Male,Microglia,Acvr1,Aged(18m),3,0.4562798092209857,0.495080196510807,95.39502935536757
Male,Microglia,Acvr2a,Adult(2m),1,0.3471502590673575,0.3905225635942591,83.0872577969671
Male,Microglia,Acvr2a,Aged(18m),3,0.32273449920508746,0.3305463973910476,56.698627893204986
Male,Microglia,Acvr2b,Adult(2m),1,0.26424870466321243,0.2496522619235008,42.64655709932824
Male,Microglia,Acvr2b,Aged(18m),3,0.13667820069204153,0.13052862772145613,22.294307148669585
Male,Microglia,Gdf11,Adult(2m),1,0.015544041450777202,0.010207286530166287,2.205856401689392
Male,Microglia,Gdf11,Aged(18m),3,0.009538950715421303,0.008384184965566767,1.2524511512739724
Male,Microglia,Tgfb2,Adult(2m),1,0.03626943005181347,0.02983456724014639,5.146998270608581
Male,Microglia,Tgfb2,Aged(18m),3,0.025951557093425604,0.02423126392689459,5.449719525230344
Male,Microglia,Tgfbr1,Adult(2m),1,1.0,3.0846150297006423,2336.001929389066
Male,Microglia,Tgfbr1,Aged(18m),3,0.9965397923875432,2.731119021975689,1655.9715920984022
Male,Microglia,Tgfbr2,Adult(2m),1,0.9533678756476683,1.7488995795702673,563.2286678980247
Male,Microglia,Tgfbr2,Aged(18m),3,0.9618441971383148,1.8270741005433213,634.366508120267
Male,Tanycyte,Acvr1,Adult(2m),5,0.30409356725146197,0.23079491077839992,46.71691330230737
Male,Tanycyte,Acvr1,Aged(18m),3,0.3524355300859599,0.2755848745053886,56.05711570501447
Male,Tanycyte,Acvr2a,Adult(2m),5,0.335,0.2744505276551528,40.78444807426032
Male,Tanycyte,Acvr2a,Aged(18m),3,0.2653061224489796,0.22775117395467268,33.22461500977358
Male,Tanycyte,Acvr2b,Adult(2m),5,0.1695906432748538,0.09832357515613349,17.351996369428452
Male,Tanycyte,Acvr2b,Aged(18m),3,0.17207792207792208,0.12160129947183741,18.12508295148851
Male,Tanycyte,Gdf11,Adult(2m),5,0.575,0.5707704178000219,118.34951369917867
Male,Tanycyte,Gdf11,Aged(18m),3,0.4785100286532951,0.4211565997395626,76.26654797635014
Male,Tanycyte,Tgfb2,Adult(2m),5,0.5263157894736842,0.630206532646762,195.37443936030442
Male,Tanycyte,Tgfb2,Aged(18m),3,0.45272206303724927,0.5718840573097455,131.05264809410687
Male,Tanycyte,Tgfbr1,Adult(2m),5,0.2982456140350877,0.24067657863835346,38.745225670547306
Male,Tanycyte,Tgfbr1,Aged(18m),3,0.1977077363896848,0.15684277137337832,22.51018366555831
Male,Tanycyte,Tgfbr2,Adult(2m),5,0.045,0.03401204720858973,4.475264096522496
Male,Tanycyte,Tgfbr2,Aged(18m),3,0.05519480519480519,0.03274779820087554,4.969780809279107
