Var1,Var2,Freq
Astrocyte,Astrocyte,35
Endothelial,Astrocyte,54
Ependymal,Astrocyte,50
GABAergic_Neuron,Astrocyte,45
Glutamatergic_Neuron,Astrocyte,48
Microglia,Astrocyte,17
MOL,Astrocyte,29
OPC,Astrocyte,53
Pericyte,Astrocyte,47
SMC,Astrocyte,58
Tanycyte,Astrocyte,46
Astrocyte,Endothelial,23
Endothelial,Endothelial,42
Ependymal,Endothelial,39
GABAergic_Neuron,Endothelial,34
Glutamatergic_Neuron,Endothelial,36
Microglia,Endothelial,8
MOL,Endothelial,21
OPC,Endothelial,40
Pericyte,Endothelial,33
SMC,Endothelial,35
Tanycyte,Endothelial,33
Astrocyte,Ependymal,25
Endothelial,Ependymal,40
Ependymal,Ependymal,33
GABAergic_Neuron,Ependymal,33
Glutamatergic_Neuron,Ependymal,34
Microglia,Ependymal,11
MOL,Ependymal,25
OPC,Ependymal,38
Pericyte,Ependymal,30
SMC,Ependymal,34
Tanycyte,Ependymal,36
Astrocyte,GABAergic_Neuron,45
Endothelial,GABAergic_Neuron,52
Ependymal,GABAergic_Neuron,52
GABAergic_Neuron,GABAergic_Neuron,89
Glutamatergic_Neuron,GABAergic_Neuron,100
Microglia,GABAergic_Neuron,7
MOL,GABAergic_Neuron,47
OPC,GABAergic_Neuron,77
Pericyte,GABAergic_Neuron,54
SMC,GABAergic_Neuron,55
Tanycyte,GABAergic_Neuron,59
Astrocyte,Glutamatergic_Neuron,47
Endothelial,Glutamatergic_Neuron,54
Ependymal,Glutamatergic_Neuron,58
GABAergic_Neuron,Glutamatergic_Neuron,91
Glutamatergic_Neuron,Glutamatergic_Neuron,97
Microglia,Glutamatergic_Neuron,8
MOL,Glutamatergic_Neuron,48
OPC,Glutamatergic_Neuron,77
Pericyte,Glutamatergic_Neuron,55
SMC,Glutamatergic_Neuron,57
Tanycyte,Glutamatergic_Neuron,58
Astrocyte,Microglia,20
Endothelial,Microglia,43
Ependymal,Microglia,46
GABAergic_Neuron,Microglia,34
Glutamatergic_Neuron,Microglia,37
Microglia,Microglia,21
MOL,Microglia,16
OPC,Microglia,35
Pericyte,Microglia,40
SMC,Microglia,43
Tanycyte,Microglia,39
Astrocyte,MOL,19
Endothelial,MOL,29
Ependymal,MOL,36
GABAergic_Neuron,MOL,36
Glutamatergic_Neuron,MOL,38
Microglia,MOL,11
MOL,MOL,25
OPC,MOL,34
Pericyte,MOL,34
SMC,MOL,37
Tanycyte,MOL,28
Astrocyte,OPC,43
Endothelial,OPC,55
Ependymal,OPC,65
GABAergic_Neuron,OPC,73
Glutamatergic_Neuron,OPC,77
Microglia,OPC,15
MOL,OPC,42
OPC,OPC,80
Pericyte,OPC,57
SMC,OPC,61
Tanycyte,OPC,68
Astrocyte,Pericyte,22
Endothelial,Pericyte,44
Ependymal,Pericyte,33
GABAergic_Neuron,Pericyte,28
Glutamatergic_Neuron,Pericyte,29
Microglia,Pericyte,12
MOL,Pericyte,21
OPC,Pericyte,30
Pericyte,Pericyte,34
SMC,Pericyte,41
Tanycyte,Pericyte,31
Astrocyte,SMC,25
Endothelial,SMC,55
Ependymal,SMC,52
GABAergic_Neuron,SMC,38
Glutamatergic_Neuron,SMC,39
Microglia,SMC,10
MOL,SMC,23
OPC,SMC,38
Pericyte,SMC,52
SMC,SMC,59
Tanycyte,SMC,46
Astrocyte,Tanycyte,36
Endothelial,Tanycyte,61
Ependymal,Tanycyte,62
GABAergic_Neuron,Tanycyte,55
Glutamatergic_Neuron,Tanycyte,54
Microglia,Tanycyte,15
MOL,Tanycyte,31
OPC,Tanycyte,64
Pericyte,Tanycyte,70
SMC,Tanycyte,78
Tanycyte,Tanycyte,57
