cell_type_major,age_group,Female,Male
Astrocyte,Adult(2m),2915,121
Astrocyte,Aged(18m),7958,4796
BAM,Adult(2m),17,0
BAM,Aged(18m),34,18
COP,Adult(2m),78,3
COP,Aged(18m),24,31
Dendritic_Cell,Adult(2m),2,0
Dendritic_Cell,Aged(18m),2,1
Dopaminergic_Neuron,Adult(2m),3,0
Dopaminergic_Neuron,Aged(18m),1,6
Ependymal,Adult(2m),76,6
Ependymal,Aged(18m),84,58
GABAergic_Neuron,Adult(2m),3702,1220
GABAergic_Neuron,Aged(18m),1181,5907
Glutamatergic_Neuron,Adult(2m),3855,1031
Glutamatergic_Neuron,Aged(18m),1164,5950
MFOL,Adult(2m),38,10
MFOL,Aged(18m),18,15
MOL,Adult(2m),1012,165
MOL,Aged(18m),1319,485
Microglia,Adult(2m),257,10
Microglia,Aged(18m),1360,420
NFOL,Adult(2m),6,1
NFOL,Aged(18m),0,5
OPC,Adult(2m),739,74
OPC,Aged(18m),1464,1355
Pericyte,Adult(2m),126,1
Pericyte,Aged(18m),350,183
SMC,Adult(2m),79,2
SMC,Aged(18m),214,118
T_cell,Adult(2m),0,0
T_cell,Aged(18m),6,0
Tanycyte,Adult(2m),304,177
Tanycyte,Aged(18m),327,252
Unclassified,Adult(2m),233,3
Unclassified,Aged(18m),658,489
VLMC,Adult(2m),41,3
VLMC,Aged(18m),87,46
