donor_label,age_group,sex_group,Microglia,Tanycyte
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,535.0,114.0
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,578.0,308.0
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,21.0,49.0
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,834.0,223.0
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,629.0,349.0
Snap25-IRES2-Cre;Ai14-536274,Adult(2m),Female,0.0,93.0
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,255.0,156.0
Snap25-IRES2-Cre;Ai14-539606,Adult(2m),Male,0.0,141.0
Snap25-IRES2-Cre;Ai14-539609,Adult(2m),Female,0.0,16.0
Snap25-IRES2-Cre;Ai14-540230,Adult(2m),Female,0.0,6.0
Snap25-IRES2-Cre;Ai14-546892,Adult(2m),Male,0.0,20.0
Snap25-IRES2-Cre;Ai14-546895,Adult(2m),Male,0.0,1.0
Snap25-IRES2-Cre;Ai14-547122,Adult(2m),Male,0.0,4.0
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,193.0,200.0
Snap25-IRES2-Cre;Ai14-551639,Adult(2m),Male,0.0,171.0
Snap25-IRES2-Cre;Ai14-556848,Adult(2m),Male,0.0,53.0
Snap25-IRES2-Cre;Ai14-566076,Adult(2m),Female,0.0,10.0
Snap25-IRES2-Cre;Ai14-568464,Adult(2m),Female,0.0,36.0
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,10.0,11.0
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,2.0,23.0
